ID в ИС ГТИБД,Вид объекта,Название,Краткое название,Название (англ.),Тип учреждения,Адрес (ручной),Телефоны,Сайт,Электронная почта,Описание,Описание (англ.),Историческая справка,Историческая справка (англ.),Заметки,Режим работы,Режим работы (англ.),Координаты
13810,Сады и парки,Полюстровский парк,,Polyustrovsky Park,,"СПб, пр. Металлистов / ш. Революции / Львовская улица / улица Маршала Тухачевского",,,,"На месте Полюстровского парка еще полвека назад были старые жилые постройки и свалка, пока в 1967 году здесь не появился сад с регулярной планировкой. Это означает, что вся его территория имеет строгую геометрическую разметку с прямыми тропинками и аллеями. Первоначально парк назывался в честь 50-летия Октября, что в Советском Союзе было традицией, и только в 2007 стал Полюстровским. Сегодня зона, где располагается парк, признана экологически чистой. Неподалеку работает завод по выпуску минеральной воды ""Полюстрово"". Говорят, история местных минеральных вод началась еще при Петре I. Император, в надежде разгадать секрет богатырского здоровья жителей Казачьей Слободки, нанял аптекаря, а тот и выявил целебные свойства полюстровских вод. С тех пор ""на воды"" приезжали со всей России. Сегодня в Полюстровском парке можно покататься на велосипеде и роликах, принять участие в городских праздниках и отдохнуть у воды.",,,,,круглосуточно,24 hours,"59.961612,30.427592"
13811,Сады и парки,Парк Интернационалистов,,Internationalists Park,,"СПб, пр. Славы / ул. Бухарестская",,,,"Парк располагается между проспектом Славы, Южным шоссе и жилой застройкой около кирпичного завода у станции метро ""Ломоносовская"". Некоторые урбанисты считают такое место для парка невыгодным из-за шума крупных автомагистралей. Однако до парка легко добраться даже из других районов: здесь проходят многие маршруты общественного транспорта. Раньше на месте современного парка была деревня Романово со множеством деревянных крестьянских домов. Затем постройки снесли, но долгое время парк оставался заброшенным пустырем. Как объект садово-паркового искусства сад оформился лишь в 1986 году - в память о погибших в Афганистане воинах. На территории парка расположена система небольших искусственных озер, с довольно чистой и прозрачной водой, в которой водится рыба. На территории парка стоит храм в честь Георгия Победоносца. Раньше в парке Интернационалистов были своя детская площадка и маленькая лодочная станция, но в начале 2010-х их снесли.",,,,,круглосуточно,24 hours,"59.858715,30.401675"
13812,Сады и парки,Парк Авиаторов,,Aviators Park,,"СПб, пр. Новоизмайловский / ул. Бассейная / Кубинская ул. / Кузнецовская",,,,"Парк сооружен в 1966-1970 годах на части территории бывшего Корпусного аэродрома. Отсюда он и берет свое название. Парк имеет причудливую планировку дорожек, а в центре парка оригинальный в плане пруд. Воды поступают по ответвлению Лиговского канала. В 1968 на берегу пруда открыт памятник военным летчикам: на бетонном основании установили самолет-истребитель МИГ-19; архитекторы: А. С. Червякова, и С. А. Ушаков.",,,,,круглосуточно,24 hours,"59.867455,30.297457"
13813,Сады и парки,Парк Монрепо,,Monrepos Park,,"Ленобласть, г. Выборг, ул. Физкультурная / ул. 2-я Южная",(813 78) 2-59-97,,,"В первые послевоенные годы территория бывшего имения Монрепо используется в качестве базы отдыха для военнослужащих. В 1952 г. главный усадебный дом и Библиотечный флигель получают статус памятника архитектуры. В доме размещается Детский сад, а флигель отдаётся под многоквартирный жилой дом. Монрепо становится парком культуры и отдыха (ЦПКиО) имени М. И. Калинина. К началу 1960-х гг. все деревянные парковые павильоны, а также скульптура, включая памятники на фамильном кладбище, были утрачены. В 1960 г. комплекс усадебных построек, парк и примыкающий лесной массив получают статус памятника истории и культуры республиканского значения. В доме, после вывода из него Детского сада, начинаются реставрационные работы. В 1976 г. производится ремонт накопительного бассейна источника Нарцисс, с установкой нового маскарона (в виде головы льва), отлитого по модели выборгской художницы Т. Архангельской. В 1981-1983 гг. в целях установления исторической дорожной сети парка и исследования фундаментов утраченных павильонов в Монрепо работает отряд Выборгской архитектурно-археологической экспедиции Ленинградского отделения института археологии АН СССР. В 1985 г. воссоздаются, по проекту В. В. Дмитриева, въездные ворота Монрепо. Состояние парка, а также несоответствие между его историко-культурным значением и использованием в качестве ЦПКиО побудило инициативную группу общественных деятелей Выборга добиваться, при поддержке академика Д. С. Лихачёва, придания Монрепо статуса музея-заповедника. Государственный историко-архитектурный и природный музей-заповедник ""Парк Монрепо"" был образован решением Совета министров РСФСР в 1988 г.",,,,,"С 1 мая по 30 сентября - с 09:00 до 20:00,1 октября по 30 апреля с 9:00 до 18:00","1 May - 30 September 09:00 - 20:00,1 October - 30 April 9:00 - 18:00","60.731822,28.727934"
13814,Сады и парки,Невский лесопарк,,Nevsky Forest Park,,"Ленобласть, дер. Новосаратовка",,,,"Невский лесопарк расположен во Всеволжском районе Ленинградской области. Это полотно из елей, сосен, осин, берез площадью больше трех тысяч гектаров. В Лесопарке даже есть своя собственная речка - Черная. Одна неширокая и больше напоминает большой ручей. На западе лесопарка сохранилась усадьба Покровка, центральным сооружением которой является покровская церковь. Этот храм - точная копия Покровской церкви на Вытегорском погосте 1708 года постройки. Сегодня в Покровке регулярно проводятся службы. Сам Невский лесопарк не так давно был выведен из списка земель лесного фонда. С тех пор территория пришла в запустение. Впрочем, история повторилась: после Великой Отечественной войны, когда лес оказался под сплошным артобстрелом, эти земли на некоторое время утратили свои красоту и богатство. Лесопарк пришлось буквально засаживать заново, и теперь средний возраст деревьев в нем - 50 лет.",,,,,круглосуточно,24 hours,"59.834664,30.579112"
13815,Сады и парки,Вепсский Лес,,Vepsian Forest,,"Ленобласть, п. Шугозеро, ул. Советская, д.90",a.smirnov.vepsles@yandex.ru,,,"""Вепсский лес"" - особо охраняемая природная территория, которая занимает площадь 189,1 тысяч га. ""Это уникальный, созданный самой Природой музей под открытым небом, который находится в краю сосен, рек, родников, водопадов и живописных лесов. Именно здесь всё выглядит так, словно рука человека не касалась заповедных мест, несмотря на то, что тут издревле проживали вепсы - самобытный народ, бережно хранящий свой язык и традиции"", - говорится на официальном сайте природного парка. На территории парка проживает малая народность России – вепсы, у которой имеется самобытная культура и традиции. Здесь находятся краеведческие музеи и центры вепсской культуры, которые призваны не только беречь культуру малого народа, но и возрождать традиционные промыслы и ремесла. В посёлке Винницы ежегодно в июне проводится Вепсский фольклорный праздник-фестиваль ""Древо жизни"".",,,,,круглосуточно,24 hours,"60.505258,34.116209"
13816,Сады и парки,Александрия,,Alexandria,,"СПб, г. Петродворец, пр. Санкт-Петербургский / Финский залив (ГМЗ Петергоф)",+7 (812) 450-52-87,,,"Дворцово-парковый ансамбль ""Александрия"" был резиденцией русских императоров в 19 веке и начала 20 века. ""Александрия"" расположена восточнее Нижнего парка, от которого ее отделяет каменная стена, прорезанная Звериными, Никольскими и Морскими воротами. Парк ""Александрия"" занимает две террасы: прибрежную (нижнюю) и верхнюю, причем основные его архитектурные сооружения, к которым относятся Капелла, Фермерский дворец и Коттедж, были возведены именно на последней. Парк ""Александрия"" был устроен таким образом, что из многих его точек можно увидеть море: это придает пейзажу парка особенное своеобразие. В 1725 году место, на котором сейчас располагается парк ""Александрия"", приобрел Меньшиков. Здесь началось строительство его дворца, которое так и не было завершено в связи с опалой петровского фаворита. Следующими владельцами этих земель стали политические противники Меньшикова, князья Долгорукие, которые обустройством своей новой собственности не занимались. В 1733 году эта заброшенная местность стала собственностью императрицы, Анны Иоанновны, взошедшей на престол тремя годами раньше. Работы по устройству парка и строительству летнего дворца ""Коттедж"" возглавил английский архитектор Адам Менелас, завершились они в 1829 году. Дворец представлял собой небольшое двухэтажное здание в готическом стиле, фасады которого были украшены балконами и террасами. Формирование романтического пейзажного парка шло в одно время со строительством дворца. При создании парка Александрия использовались самые разные породы деревьев и кустарников, в том числе и редкие и экзотические. Облик парка складывался не только из аллей, извилистых тропинок, холмов, полян, разнообразной растительности, но и из различных декоративных элементов: скульптур, беседок и караулок, в которых использовались элементы готической архитектуры. Готический стиль характерен для всех построек Александрии, от дворца Коттедж, до Фермерского дворца и Готической капеллы.","The Palace-and-Park ensemble ""Alexandria"", was the place for regular summer vacations of the four generations of the Romanov dynasty. 1826 - 1829. Architects - А. Menelaws, A.I. Stackenschneider, E.L. Gan. Master gardeners - F. Wendelsdorf, А. Gombel, N. Rodionov, P. Ehrler. It adjoins to the eastern border of the official emperor's residence, separated with the wall from the Lower Park. The history of this place could have been completely different, if in 1725, Menshikov, who used to own the land, had succeeded to build the grand suburban palace, ""Moncourage"" - ""My courage"". But as soon as the general-governor of St.Petersburg got in proscription, his possessions were confiscated and the palace remained unfinished. The courage disappeared and later, the Empress Anna Ioannovna opened a hunting park for Tsars here, called ""Yardgarten"". The romantic spirit of this place was especially accentuated by numerous architectural constructions in the neo-Gothic style: guarding towers, cast-iron wells and the Ruin bridge over a deep ravine. In earlier times, close to this bridge, one could see the remains of the unfinished ""Moncourage"" palace. The park is decorated with pavilions, pergolas and garden benches. The stone sofa, carved in a huge boulder, remains intact even today. The modern park ""Alexandria"" is a beautiful place for family get aways. The children together with their parents can visit the gymnastic playground of the great dukes, take part in the Knight festival, participate in the interactive programs and historical reconstructions, strike the bell at the children's Fire Tower or just walk around one of the most beautiful suburban parks of the country.",,,,"09:00-22:00. В зимний сезон, с 19 октября 2020 до 24 апреля 2021, парк Александрия открыт ежедневно с 9:00 до 20:00.",09:00-22:00,"59.878477,29.94539"
13817,Сады и парки,Сад 9-го Января (Сад памяти жертв расстрела 1905 года),,Garden named after 9th January,,"СПб, пр. Стачек / ул. Тихомировская",,,,"Началом строительства парка можно считать 1 января 1920 года. Разработка проекта была поручена известному садоводу Р. Ф. Катцеру. Первоначально парку было присвоено имя – «Сад в память жертв расстрела 9 января 1905 года». Его разбили на том самом месте, откуда рабочие Нарвской заставы в памятное Кровавое воскресенье двинулись с петицией к Зимнему дворцу. У Нарвской заставы (ныне Площадь Стачек) они были встречены и расстреляны войсками. В 1924 году вдоль парка, со стороны проспекта Стачек, была установлена решетка, выполненная по проекту архитектора Р. Ф. Мельцера, и получила две золотые медали на всемирной выставке, которая проводилась в Париже. Во время Великой Отечественной войны парк сильно пострадал. Во время блокады деревья подверглись вырубке, а земля была раскопана под огороды. После войны парк восстановили и расширили. Чуть позже парк модернизировали для детей: построили спортивные и игровые площадки.",,,,,круглосуточно,24 hours,"59.891555,30.277432"
13818,Сады и парки,Пискаревский парк,,Piskarevsky Park,,"СПб, пр. Непокоренных / ул. Бутлерова",,,,"Пискаревский парк возник в 60-х годах прошлого столетия как продолжение мемориальной зоны одноименного кладбища. Особенность его происхождения, а власти Ленинграда задумали из обыкновенного лесного участка сделать место отдыха, до сих пор накладывает отпечаток на его облик. Этот парк меньше других в Петербурге облагораживается и меняется, по словам местных жителей, зимой и вовсе превращается в непроходимую лесную чащу. Впрочем, летом здесь все-таки можно не просто прогуляться среди берез, осин и сосен, но и заняться спортом. Пискаревский парк почти сразу же с момента возникновения облюбовали лыжники - неподалеку находится школа, воспитавшая не одно поколение знаменитых на всю страну спортсменов. Сегодня немногие вспомнят не самые светлые страницы в истории Пискаревского парка. На некоторое время эта лесная зона стала последним пристанищем для советских солдат - в годы Великой отечественной войны по ее северной границе проходил противотанковый ров. Некоторые краеведы утверждают, что после сражений здесь выкапывали целые братские могилы.",,,,,круглосуточно,24 hours,"60.000256,30.395903"
13820,Сады и парки,Любашинский парк,,Lyubashinsky park,,"СПб, ул. Замшина / пр. Металлистов",,,,"Любашинским парком или садом называют зеленую зону в Калининском районе Петербурга. Свое название сад получил в честь расположенного неподалеку Любашинского проспекта, но впервые его так назвал историк Кирилл Страхов. Журналисты подхватили идею и с тех пор это наименование постоянно появляется на страницах муниципальной газеты ""Финляндский округ"". Любашинский сад в летнее время утопает в зелени, здесь можно лежать на газонах и греться под редким петербургским солнцем. Среди местных жителей это место популярно для прогулок с домашними животными. Для детей на одной из полян расположилась небольшая игровая площадка. Раньше сердцем Любашинского парка был пруд в самом его центре, но теперь водоем полностью высох, обнажив бетонное дно. Впрочем, и пустующей территории нашли применение: здесь часто можно встретить любителей покататься на скейтбордах и роликах",,,,,круглосуточно,24 hours,"59.969089,30.397112"
13821,Сады и парки,Румянцевский сад,,Rumyantsev garden,,"СПб, между 1-й и 2-й линиями Васильевского острова",,,,"Румянцевский сад на Васильевском острове чаще именуют садиком из-за его небольших размеров и уютной атмосферы. Сегодня это место облюбовали студенты находящихся неподалеку Санкт-Петербургского государственного университета и Академии художеств. До конца 18 века на месте Румянцевского сада был парадный плац Кадетского корпуса. В 1799 году император Павел приказал создать обелиск в честь побед русской армии под командованием фельмаршала графа Петра Румянцева, но установить его на Марсовом поле. Памятник перенесли на бывший плац только в 1828 году, сделав его центром нового городского сада. Однако своим появлением сад между линиями Васильевского острова и Университетской набережной обязан петербургскому купцу Соловьеву. Обустройство парка обошлось торговцу в 25 тысяч рублей. Но историческая несправедливость взяла верх: власти столицы отказались называть сад именем Соловьева, и его проект стал называться Румянцевским. Но неофициальное название - Соловьевский сад - да этим место все-таки закрепилось, хотя из современных петербуржцев мало кто об этом знает. Румянцевский сад среди горожан славился своими широкими аллеями, ровно посаженными деревьями, музыкальным павильоном и разными увеселительными мероприятиями. За прогулки по парку взималась плата, которая отчислялась в городскую казну. В советское время фонтаны в Румянцевском садике были закрыты, музыкальный павильон разрушен, а растительность долго оставалась неухоженной. Отреставрировали парк только в 2002 году.",,,,,круглосуточно,24 hours,"59.938592,30.292396"
13822,Сады и парки,Парк Полежаевский,,Polezhaevsky park,,"СПб, Петергофское шоссе / пр. Маршала Жукова /Авангардная ул. / пр.Ветеранов",,,,"История этого парка в Красносельском районе Петербурга началась в 1840-м году. Тогда граф Кушелев купил имение семьи Буксгевденов и семь деревень неподалеку. Для работы над будущим парком новый хозяин позвал популярного тогда петеребургского архитектора Штакеншнейдера. Он представил английский проект с пейзажной структурой, многочисленными дорожками и аллеями. Современное название парка появилось только в конце 19 века, когда дачу у наследников графа Кушелева после его смерти выкупил купец Полежаев. Вместе с сыном он в 1909 году возвел здесь дачный поселок. Эпоха упадка в истории Полежаевского парка началась со времен Великой Отечественной войны - эта территория на два года оказалась частью фронта. Именно после войны парк перестал существовать как единое целое. Сейчас в парке не сохранились строения 19 века. Среди местных жителей даже существует легенда, что по ночам здесь возникает дом-призрак - разобранное по кирпичиком здание усадьбы графа Кушелева.",круглосуточно,,,,24 hours,,"59.842549,30.1957"
13823,Сады и парки,Пулковский парк,,Pulkovsky Park,,"СПб, ш. Московское / ш. Пулковское",,,,"Просторный, живописный парк в Московском районе Санкт Петербурга, располагается неподалёку от станций метро «Московская» и «Звёздная»,  к югу от площади Победы на территории между Киевским и Московским шоссе. Закладка парка началась в 1980 году, по проекту архитектора  Лелякова. В центральной части парка расположен храмовый комплекс, состоящий из трех церквей, часовни и хозяйственных построек. Каждое здание в этом ансамбле образец определенного стиля и память о важном событии. Например, церковь Рождества Христова выполнена в неорусском стиле. Церковь Святого Георгия Победоносца возведена в честь подвига российских воинов в Великой Отечественной войне. В основании здания заложены капсулы с землей из городов-героев. Интересно, что на окраине парка сохранились доты времен Великой Отечественной войны, они были построены как часть оборонительного рубежа ""Ижора"", который и проходил по территории нынешнего Московского района. Сейчас летом на этих сооружениях упражняются в спуске велосипедисты, а зимой дети катаются с импровизированной горки.",,,,,круглосуточно,24 hours,"59.838372,30.32601"
13824,Сады и парки,Парк строителей,,Stroiteley park,,"СПб, пр. Большевиков / Дальневосточный пр. / ул. Подвойская / ул. Антонова-Овсеенко",,,,"Парк строителей - один из самых просторных в Невском районе. Неподалеку расположились станции метро ""улица Дыбенко""  и ""Проспект большевиков"". Его площадь составляет почти три гектара, а молодые деревья, посаженные там, еще только подрастают, что делает похожим парк скорее на большое зеленое поле. История возникновения парка довольно прозаично: сделать это место зоной отдыха решила администрация Невского района. В итоге территорию между улицами Антонова-Овсеенко и Подвойского и проспектами Дальневосточным и Большевиков засадили газоном и деревьями. Парку не раз угрожали застройкой. Так, например, появились спорткомплекс и жилые дома на улице Антонова-Овсеенко и церковь Апостола Петра прямо посередине паркового пространства. Этот белокаменный храм заложили в 2005 году по проекту архитекторов Лебедева и Корытченкова.",,,,,круглосуточно,24 hours,"59.909503,30.466448"
13825,Сады и парки,Сад Бенуа,,Benois Garden,,"СПб, пр. Науки / пр. Светлановский / пр. Тихорецкий",+7 (812) 775-18-90,,,"Трудно представить, что еще полвека назад на месте парка Бенуа работал самый настоящий совхоз, поставлявший ленинградцам молоко и мясо. А началось все в 1890-х годах, когда территорию между нынешними Тихорецким и Светлановским проспектами, проспектом Науки и улицей Веденеева на окраине Петербурга взял в аренду архитектор Юлий Бенуа. В 1904 году Бенуа достроил здесь ферму, которая очень быстро стала лучшей в городе. Хозяйство ее считалось богатым и разнообразным, а работники - зажиточными. Даже во времена Первой мировой ферма только процветала, потому что высоко вырос спрос на молоко. Октябрьская революция тоже не навредила усадьбе Бенуа, превратив ее в совхоз. С началом НЭПа здесь стали выращивать картофель, разводить свиней, кур и кроликов. С началом Великой Отечественной войны большую часть работников пришлось эвакуировать, но хозяйство ни на день не прекращало работы. После войны ферме присвоили звание ""племенного завода"", однако город вплотную подступил к ее границам - совхозу пришлось переезжать. В конце 1970-х на территории бывшей фермы построили башню Института робототехники и технической кибернетики. Спустя десятилетие физики были вытеснены лириками: дачу Бенуа передали школе художественного образования. Сам великий художник Илья Глазунов собирался создать там образовательный центр Всероссийской академии художеств. К несчастью, в 2001 году ферма и постройки вокруг нее сгорели. Свое нынешнее название - ""сад Бенуа"" - эта территория получила в 2006. С 2014 года новый владелец сада занимается его реконструкцией с целью создать образовательный центр.",,,,,круглоточно,24 hours,"60.017719,30.369647"
13826,Сады и парки,Екатерининский парк,,Catherine park,,"СПб, г. Пушкин, ул. Садовая, д. 7 (ГМЗ Царское село)",+7 (812) 415-76-67,,,"Наряду с дворцовым комплексом неотъемлемой частью Царскосельской императорской резиденции являются парки, прежде всего главные из них - Екатерининский и Александровский, получившие эти названия по находящимся в них дворцам. Екатерининский парк состоит из двух частей: регулярного Старого сада и пейзажного Английского парка. Старый (Голландский) сад основал, по преданию, сам Петр I. Эту легенду приводит в своем сочинении «Достопамятности Санкт-Петербурга и его окрестностей» (1817) П. П. Свиньин: «Петр I, заезжая иногда сюда прохлаждаться молоком к старой голландке Сарре, пленился местом сим…» и собственноручно насадил платановые и дубовые аллеи. Так или иначе, но именно голландские мастера садово-паркового дела Я. Роозен и И. Фохт распланировали в 1720-х годах Старый сад на трех уступах перед царицыным дворцом. В это же время на третьем уступе были устроены Зеркальные пруды, а на речке Вангазе, стекавшей с холма, - еще два пруда: Верхний (Большой) и Мельничный, позже вошедший в систему Каскадных, или Нижних, прудов. В середине XVIII века сад был расширен, перепланирован и украшен скульптурой. Ф.-Б. Растрелли спроектировал павильоны «Эрмитаж» и «Грот», а также Катальную гору; Большой пруд с расположенным на острове люстгаузом (увеселительным павильоном) приобрел форму шестиугольника и был обведен аллеями. Наконец, в 1770-х годах архитекторы В. И. и И. В. Нееловы построили в саду комплекс Адмиралтейства, Эрмитажную кухню, Верхнюю и Нижнюю ванны. Вдоль границы сада до самых Нижних прудов протянулся Продольный (Каскадный) канал с двенадцатью плотинами. Екатерина II спешила явить просвещенной Европе сад, не только разбитый в новейшем вкусе, но и украшенный памятниками, прославляющими величие ее царствования. Так, в честь российских побед в русско-турецких войнах были воздвигнуты в 1770-1780-х годах Башня-руина, Чесменская, Морейская, Крымская колонны, Кагульский обелиск, Турецкий киоск и Турецкий каскад. О чуткости императрицы - просветительницы и законодательницы - к новейшим веяниям в искусстве  свидетельствовали павильон «Холодная баня» с Агатовыми комнатами и Камеронова галерея, Концертный зал и другие классицистические постройки. Сооружение литых чугунных Готических ворот и множества металлических мостиков демонстрировало высокий уровень развития русской промышленности. В свою очередь, разнообразные по художественному решению парковые павильоны и беседки напоминали о том, что сад создан для удовольствий и отдыха. В начале XIX века к числу памятников русской славы прибавились ворота «Любезным моим сослуживцам», посвященные победе над Наполеоном, а в середине столетия ансамбль Екатерининского парка был завершен павильоном «Турецкая баня». Наконец, в 1865 году на лугу перед южным фасадом Зубовского флигеля был устроен Собственный императорский садик с большим мраморным фонтаном и Перголой - верандой в итальянском стиле.",,,,,07:00–21:00,07:00–21:00,"59.717282874,30.3944667"
13827,Сады и парки,Лопухинский сад,,Lopukhinsky garden,,"СПб, пр. Каменноостровский / ул. Академика Павлова",,,,"Новая история Лопухинского сада началась с середины 19 века, когда владельцем этого места на Каменном острове стал купец Громов. Архитектор Винтергальтер построил для него деревянную дачу - образец ранней эклектики с элементами классицизма. С тех пор городская усадьба Громова стала излюбленным местом высшего света для гуляний и вечеринок. Многие современники купца вспоминали его дачу как роскошное место для увеселений и уединения. В 1890-х годах на тогда уже бывшей даче Громова любил бывать Антон Павлович Чехов. Писатель приезжал в гости к другу, литератору Ясинскому. После революции дача Громова и Лопухинский сад стали носить имя Феликса Дзержинского. Историческое название парку вернули только в 1990-х годах, тогда же провели реставрационные работы, превратив сад в типичный пейзажный, с гранитными спусками к воде и аккуратными аллеями. С наступлением 21 века над Лопухинским садом нависла угроза застройки. Компания, арендовавшая у города эту территорию на 49 лет, собиралась построить здесь многоэтажный отель. Только в 2013 году градозащитникам удалось остановить процесс стройки. В 2015 году Лопухинский сад вновь открыли для посетителей после реконструкции.",,,,,круглосуточно,24 hours,"59.97626,30.3053"
13828,Сады и парки,Орловский парк,,Orlovsky park,,"СПб, пос. Стрельна, ул. Фронтовая / ш. Санкт-Петербургское",,,,"Орловский парк, как и почти все пригородные парки Петербурга, относится к типу пейзажных, или английских. Такие сады всегда являли собой торжество естественных форм и того искусства, что неотличимо от природы. Во все времена мастера английских методов в садово-парковом искусстве отводили большую роль сюрпризу. В Орловском парке таким неожиданным поворотом считается одноименный пруд, в самом его центре. Водоем появился на этом месте еще в петровские времена после сооружения плотины на реке Стрелка. Кроме него в парке есть еще два рукотворных, но небольших водоема. Сам парк зародился как часть усадьбы графа Орлова, сына одного из знаменитых братьев Орловых, сподвижников Екатерины Великой, с чьей помощью она и взошла на престол. Дачу в этой местности построили к 1839 году по проекту Садовникова, он же создал и парковый ансамбль. До наших дней сохранились лишь некоторые сооружения орловской усадьбы. Это непосредственно ворота, дом привратника и Туфовый мостик. Во времена Великой Отечественной войны большая часть усадьбы и парка была разрушена, многие садовые украшения были похищены. Во второй половине 20 века эти территорию завново засадили березами, кленами, елями, ясенями и лиственницами.",,,,,круглосуточно,24 hours,"59.850542,30.038068"
