ID в ИС ГТИБД,Название,Вид объекта,Тип учреждения,Адрес,Описание,Координаты,Описание ориг,Историческая справка,Заметки,Режим работы
8929,газа и и,памятники,,"г. Санкт-Петербург, Стачек пр., 72, перед Дворцом культуры им. Газа",газ иван иванович 1894-1933 слесарь путиловский завод активный участник революционный движение 1918 комиссар бронепоезд 6 находиться оборона петроград гражданский война секретарь райком горком вкп б похоронить марсовый поле открывать 1962 г скульптор гликман г д архитектор мачерет ю материал бронза - бюст гранит красный кованый - постамент высота бюст - 1 5 м высота постамент - 3 5 м подпись плинт бюст тыльный сторона гликман надпись постамент лицевой сторона врезной тонировать знак иван иванович газ 1933 г вскоре смерть газ рабочий завод красный путиловец который работать выступать инициатива сооружение памятник старый-петергофский проспект переименовывать проспект газ 1959 г принимать решение установка памятник-бюст газ кировский район отливка бюст производить бронзолитейный мастерская академия художество,"59.878403714,30.262756232","Газа Иван Иванович (1894-1933). Слесарь Путиловского завода, активный участник революционного движения. В 1918 комиссар бронепоезда № 6, находившегося на обороне Петрограда. После гражданской войны секретарь райкома и горкома ВКП(б). Похоронен на Марсовом поле. Открыт в 1962 г. Скульптор: Гликман Г. Д. Архитектор: Мачерет Ю. Я. Материалы: бронза - бюст; гранит красный, кованый - постамент. Высота бюста - 1,5 м, высота постамента - 3,5 м. Подписи: на плинте бюста с тыльной стороны: Гликман. Надписи: на постаменте с лицевой стороны врезными тонированными знаками: Иван / Иванович / Газа. Еще в 1933 г., вскоре после смерти И.И. Газа, рабочие завода «Красный путиловец», на котором он работал, выступили с инициативой сооружения памятника. Тогда же Старо-Петергофский проспект переименован в проспект Газа. В 1959 г. принято решение об установке памятника-бюста И.И. Газа в Кировском районе. Отливка бюста произведена в бронзолитейной мастерской Академии художеств.",,,Круглосуточно
8930,гатчинские орловские ворота,памятники,,"г. Пушкин, Парковая улица, юго-западная часть Екатерининского парка",архитектор антонио ринальди сооружать 1777-1782 гг место временный деревянный триумфальный арка материал мрамор сибирский серый - облицовка ворота мрамор тивдийский розовый - колонна филенка железо кованый бронза - створка ворота медь золоченый - литера гатчинский ворота - первый русский архитектура пример триумфальный арка выполнять постоянный материал использование образец древнеримский сооружение надпись помещать южный аттик - цитата стихотворный послание г г орлов поэт майков надпись противоположный сторона возможный составлять сам екатерина ii кованый створка ворота накладный бронзовый украшение изготавливать сестрорецкий завод,"59.7095,30.38303","Архитектор: Антонио Ринальди. Сооружены в 1777-1782 гг. на месте временной деревянной триумфальной арки. Материалы: мрамор сибирский серый - облицовка ворот; мрамор тивдийский розовый - колонны, филенки; железо кованое, бронза - створки ворот; медь золоченая - литеры. Гатчинские ворота - первый в русской архитектуре пример триумфальной арки, выполненной из постоянных материалов, с использованием образцов древнеримских сооружений. Надпись, помещенная на южном аттике - цитата из стихотворного послания Г. Г. Орлову поэта В. И. Майкова; надпись на противоположной стороне, возможно, составлена самой Екатериной II. Кованые створки ворот с накладными бронзовыми украшениями изготовлены на Сестрорецких заводах.",,,Круглосуточно
8931,героическим защитникам ленинграда,памятники,,"г. Санкт-Петербург, пл. Победы",открывать 1975 подземный памятный зал - 23 2 1978 архитектурный-скульптурный композиция доминанта который - 48-метровый обелиск блок красный гранит подножие - 5-метровый бронзовый скульптура победитель обелиск - открытый круглый зал опоясывать разрывать кольцо бетон гранит скульптурный группа постамент лабрадорит блокада монумент развертывать сторона пулковский шоссе аванплощадь - скульптурный группа летчик моряк народный мститель снайпер оборонный работа окоп солдат трудовой фронт литейщица народный ополчение группа 26 бронзовый фигура скульпор м аникушин общий архитектурный решение ансамбль пл победа - б сперанский каменский подземный зал - мозаика 1941 победа художник мыльников н репин г урал памятный летопись блокада 900 медный лист список воинский часть промышленный предприятие учреждение принимать участие битва ленинград конкурс проект монумент проходить 1963-71 сооружение территория 2 га вестись метод народный стройка течение 13 месяц,"59.843503,30.322149","Открыт в 1975 (подземный памятный зал - 23.2.1978). Архитектурно-скульптурная композиция, доминанта которой - 48-метровый обелиск из блоков красного гранита. У его подножия - 5-метровая бронзовая скульптура ""Победители"". За обелиском - открытый круглый зал, опоясанный ""разорванным кольцом"" из бетона и гранита со скульптурной группой на постаменте из лабрадорита ""Блокада"". Монумент развернут в сторону Пулковского шоссе, на аванплощади - скульптурные группы ""Летчик и моряки"", ""Народные мстители (Снайперы)"", ""Оборонные работы"", ""На окопах"", ""Солдаты"", ""Трудовой фронт (Литейщицы)"", ""Народное ополчение"". Всего в группах 26 бронзовых фигур (скульпор М. К. Аникушин). Общее архитектурное решение в ансамбле пл. Победы - С. Б. Сперанский, В. А. Каменский. В подземном зале - мозаики ""1941"" и ""Победа"" (художники А. А. Мыльников, С. Н. Репин, И. Г. Уралов), памятная ""Летопись блокады"" из 900 медных листов, списки воинских частей, промышленных предприятий и учреждений, принимавших участие в битве за Ленинград. Конкурсы на проект монумента проходили в 1963-71. Сооружение (на территории 2 га) велось методом народной стройки в течение 13 месяцев.",,,"Ежедневно, кроме среды с 11:00 до 18:00 (вторник - до 17:00)"
8932,героям дела коммуны,памятники,,"г. Петродворец, Красный пр.",открытый 7 ноябрь 1927 г материал гранит серый - постамент урна мрамор - текстовый доска надпись текст доска врезной тонировать знак кость герой дело коммуна камень суровый покой обретать памятник сооружать рабочий петергофский гранильный фабрика устанавливать братский могила боец погибший год гражданский война,"59.879015,29.920279","Открыт 7 ноября 1927 г. Материалы: гранит серый - постамент, урна; мрамор - текстовая доска. Надписи: текст доски врезными тонированными знаками: Здесь кости / героев дела / коммуны / под камнем /суровым/покой обрели. Памятник сооружен рабочими Петергофской гранильной фабрики и установлен над братской могилой бойцов, погибших в годы гражданской войны.",,,Круглосуточно
8933,героям краснодона,памятники,,"г. Санкт-Петербург, Лифляндская ул., 12, парк Екатерингоф",громов ульяна матвеевна 1924-1943 герой советский союз посмертно руководитель подпольный комсомольский организация г краснодон молодой гвардия земнух иван александрович 1923-1943 герой советский союз посмертно руководитель подпольный комсомольский организация г краснодон молодой гвардия кошевой олег васильевич 1926-1943 герой советский союз посмертно комсорг подпольный организация г краснодон молодой гвардия тюленин сергей гаврилович 1925-1943 герой советский союз посмертно руководитель подпольный комсомольский организация г краснодон молодой гвардия шевцова любовь григорьевна 1924-1943 герой советский союз посмертно руководитель подпольный комсомольский организация г краснодон молодой гвардия скульптор агибал василий иванович род 1913 мухин виктор иванович 1914-1977 федченко василий харлампиевич 1907-1979 архитектор кирхоглань валериан дмитриевич 1913-1994 открывать январь 1956 г материал бронза - скульптурный группа декоративный деталь литера гранит серый - постамент подпись плинт скульптура тыльный сторона монументскульптура ленинград 1955 автор мухин агибал федченко х надпись постамент лицевой сторона накладной литера герой краснодон скульптурный композиция состоять пять фигура-молодогвардеец олег кошевой ульяна громовой иван земнуховый любовь шевцова сергей тюленин окружать красный знамя являться авторский повторение скульптурный группа клятва установленный 1954 г г краснодон отливка бронза скульптурный группа проводиться ленинград завод монументскульптура решение цк влксм украина повторный отливка тот модель выполнять завод передавать дар ленинградский комсомол памятник называть герой краснодон устанавливать парк имя 30-летие влксм 1948-1991 гг называться екатерингофский парк высота памятник - около 11 м,"59.902043857,30.26017422","Громова Ульяна Матвеевна (1924-1943) Герой Советского Союза (посмертно) один из руководителей подпольной комсомольской организации в г. Краснодоне «Молодая гвардия». Земнухов Иван Александрович (1923-1943). Герой Советского Союза (посмертно), один из руководителей подпольной комсомольской организации в г. Краснодоне «Молодая гвардия». Кошевой Олег Васильевич (1926-1943). Герой Советского Союза (посмертно), комсорг подпольной организации в г. Краснодоне «Молодая гвардия». Тюленин Сергей Гаврилович (1925-1943). Герой Советского Союза (посмертно) один из руководителей подпольной комсомольской организации в г. Краснодоне «Молодая гвардия». Шевцова Любовь Григорьевна (1924-1943). Герой Советского Союза (посмертно) один из руководителей подпольной комсомольской организации в г. Краснодоне «Молодая гвардия». Скульпторы: Агибалов Василий Иванович (род. 1913), Мухин Виктор Иванович (1914-1977), Федченко Василий Харлампиевич (1907-1979). Архитектор: Кирхоглани Валериан Дмитриевич (1913-1994). Открыт в январе 1956 г. Материалы: бронза - скульптурная группа, декоративные детали, литеры; гранит серый - постамент. Подписи: на плинте скульптуры с тыльной стороны: Монументскульптура / Ленинград 1955 / авторы: Мухин В. И. Агибалов В. И. Федченко В.Х. Надписи: на постаменте с лицевой стороны накладными литерами: Героям / Краснодона. Скульптурная композиция, состоящая из пяти фигур-молодогвардейцев Олега Кошевого, Ульяны Громовой, Ивана Земнухова, Любови Шевцовой, Сергея Тюленина, окружающих Красное знамя, является авторским повторением скульптурной группы «Клятва», установленной в 1954 г. в г. Краснодоне. Отливка из бронзы этой скульптурной группы проводилась в Ленинграде на заводе «Монументскульптура». По решению ЦК ВЛКСМ Украины повторная отливка с той же модели, выполненная на заводе, была передана в дар ленинградскому комсомолу. Памятник, названный «Героям Краснодона», установлен в парке имени 30-летия ВЛКСМ (как в 1948-1991 гг. назывался Екатерингофский парк). Высота памятника - около 11 м.",,,Круглосуточно
8934,героям октябрьской революции,памятники,,"г. Санкт-Петербург, Новороссийская ул., 1, парк Лесотехнической академии",открывать 1953 г архитектор визенталь ю материал гранит серый кованый - обелиск плита бронза - накладной медальон высота памятник - 5 5 м надпись постамент обелиск врезной тонировать знак вечный память герой октябрьский революция плита красногвардеец завод новый лесснер павший бой против контрреволюционный войско пулково октябрь 1917г глазунов алексей 1897г кузнецов иван 1897 г поляков алексей 1897 г дмитриев алексей 1899 г кузьмин петр 1899 г алексеев петр 1900 г богданов андрей 1891 г бабков яков вечный память герой великий октябрьский социалистический революция парк лесотехнический академия похоронить красногвардеец погибший октябрь 1917 г бой войско керенский пулково красный село поздно - другой участник гражданский война первоначально 1927 г братский могила холм устанавливать временный памятник выполнять дерево проект архитектор фомин 1953 г заменять гранитный обелиск 1967 г устанавливать плита имя погибший,"59.991177,30.345943","Открыт в 1953 г. Архитектор: Визенталь Ю. А. Материалы: гранит серый, кованый - обелиск, плита; бронза - накладной медальон. Высота памятника - 5,5 м. Надписи: на постаменте обелиска врезными тонированными знаками: Вечная память / героям / Октябрьской / революции; на плите: Красногвардейцы / завода «Новый Лесснер» / павшие в боях против / контрреволюционных войск / под Пулковом в октябре 1917г. / Глазунов Алексей 1897г. / Кузнецов Иван 1897 г. / Поляков Алексей 1897 г. / Дмитриев Алексей 1899 г. / Кузьмин Петр 1899 г. /Алексеев Петр 1900 г. / Богданов Андрей 1891 г. / Бабков Яков / Вечная память героям / Великой Октябрьской / социалистической / революции! В парке Лесотехнической академии были похоронены красногвардейцы, погибшие в октябре 1917 г. в боях с войсками Керенского под Пулковом и Красным Селом, позже - другие участники Гражданской войны. Первоначально в 1927 г. на братской могиле на холме был установлен временный памятник, выполненный из дерева по проекту архитектора И. А. Фомина. В 1953 г. заменен гранитным обелиском. В 1967 г. установлена плита с именами погибших.",,,Круглосуточно
8935,гёте и в,памятники,,"г. Санкт-Петербург, Невский пр., 22-24, у церкви св. Петра и Павла",открытый 30 сентябрь 1999 г скульптор л лазарев архитектор е е лазарев материал бронза - бюст гранит серый кованый - постамент гранит темно-розовый полировать - завершение постамент основание высота бюст - 130 см высота постамент - 200 см памятник-бюст иоганн-вольфганг фон гете сооружать инициатива генеральный консульство федеративный республика германия петербург институт гете открытие памятник приурочивать 250-летие день рождение поэт,"59.936535345,30.324602083","Открыт 30 сентября 1999 г. Скульптор: Л.К. Лазарев. Архитектор: Е.Е. Лазарева. Материалы: бронза - бюст; гранит серый, кованый - постамент; гранит темно-розовый, полированный - завершение постамента, основание. Высота бюста - 130 см, высота постамента - 200 см. Памятник-бюст Иоганну-Вольфгангу фон Гете сооружен по инициативе Генерального консульства Федеративной Республики Германии в Петербурге и Института Гете. Открытие памятника приурочено к 250-летию со дня рождения поэта.",,,Круглосуточно
8936,глинке м и,памятники,,"г. Санкт-Петербург, Александровский сад",глинка михаил иванович 1804-1857 композитор родоначальник русский классический музыка открывать 1899 г скульптор пащенко м архитектор лыткин материал бронза - бюст гранит красный пютерлахский - постамент высота бюст - 1 1 м высота постамент - 2 25 м подпись бюст срез плечо слева пащенко спб 1898 г тыльный сторона плинт отл моран пр спб надпись постамент врезной тонировать знак лицевой сторона михаил иванович глинка род смоленский губа 20-го май 1804 г сконч берлин 3-го февраль 1857 г правый сторона музыка - душа автобиография глинка левый сторона мaestoso con moto баян ниже - нота текст слава русски-я земля бря-цай-тот стра-ны зо-ло-ты-я интродукция руслан людмила тыльный сторона воздвигать 1899 год петербургский городской общественный управление,"59.937049,30.30944","Глинка Михаил Иванович (1804-1857). Композитор, родоначальник русской классической музыки. Открыт в 1899 г. Скульптор: Пащенко В. М. Архитектор: Лыткин А. С. Материалы: бронза - бюст; гранит красный пютерлахский - постамент. Высота бюста - 1,1 м, высота постамента - 2,25 м. Подписи: на бюсте на срезе плеча слева: В. Пащенко. / СПб. / 1898 г.; на тыльной стороне плинта: Отл. А.Моран. пр. СПб. Надписи: на постаменте врезными тонированными знаками с лицевой стороны: Михаил Иванович / Глинка / Род. в Смоленской губ. 20-го Мая 1804 г. /сконч. в Берлине 3-го Февраля 1857 г.; с правой стороны: Музыка - душа моя / Автобиография Глинки; с левой стороны: Мaestoso con moto / Баян., ниже - ноты с текстом: Про славу Русски-я земли / Бря-цай-те стру-ны зо-ло-ты-я / (из интродукции «Руслана и Людмилы»); с тыльной стороны: Воздвигнут в 1899 году / С. Петербургским Городским / Общественным Управлением.",,,Круглосуточно
8937,говорову л а,памятники,,"г. Санкт-Петербург, пл. Стачек, у Нарвских триумфальных ворот",говоров леонид александрович 1897-1955 маршал советский союз герой советский союз 1942 г командовать войско ленинградский фронт руководство проводить прорыв 1943 г полный окончательный снятие блокада ленинград 27 январь 1944 г открывать 25 январь 1999 г скульптор боголюбов петров б архитектор шаповалов е ф материал бронза - скульптура декоративный деталь гранит розовый - постамент высота скульптура - 3 6 м высота постамент - 4 9 м 55-й годовщина полный снятие блокада ленинград исполняться 1999 г инициатива совет ветеран великий отечественный война поддерживать городской администрация решать устанавливать памятник маршал л говоров площадь нарвский триумфальный ворота памятник использовать полнофигурный скульптура выполнять 1945 г боголюбов оригинал снимать модель отливать бронза работа выполнять скульптор б петров бронзолитейный работа проводить завод монументскульптура,"59.90153,30.273366","Говоров Леонид Александрович (1897-1955). Маршал Советского Союза, Герой Советского Союза. С 1942 г. командовал войсками Ленинградского фронта, под его руководством были проведены прорыв (1943 г.) и полное и окончательное снятие блокады Ленинграда 27 января 1944 г. Открыт 25 января 1999 г. Скульпторы: Боголюбов В. Я., Петров Б. А. Архитектор: Шаповалова Е. Ф. Материалы: бронза - скульптура, декоративные детали; гранит розовый - постамент. Высота скульптуры - 3,6 м, высота постамента - 4,9 м. К 55-й годовщине полного снятия блокады Ленинграда, исполнявшейся в 1999 г., по инициативе Советов ветеранов Великой Отечественной войны, поддержанной городской администрацией, было решено установить памятник маршалу Л. А. Говорову на площади у Нарвских Триумфальных ворот. Для памятника была использована полнофигурная скульптура, выполненная в 1945 г. В. Я. Боголюбовым. С оригинала была снята модель, отлитая в бронзе. Работу выполнил скульптор Б. А. Петров. Бронзолитейные работы проведены на заводе «Монументскульптура».",,,Круглосуточно
8938,гоголю н в,памятники,,"г. Санкт-Петербург, Малая Конюшенная ул.; г. Санкт-Петербург, Александровский сад, у фонтана перед Адмиралтейством",гоголь николай васильевич 1809-1852 русский писатель творчество который постоянно звучать петербургский тема жить петербург 1828-1836 гг открывать 17 июнь 1896 г скульптор крейтан п архитектор максимов п материал бронза - бюст гранит красный - постамент высота бюст - 1 1 м высота постамент - 2 25 м городской дума 1891 г 50-летие день смерть м ю лермонтов принимать решение увековечение память поэт одновременно памятник н гоголь дума поставлять вопрос открытие бесплатный читальня память этот писатель установка бюст александровский сад 23 май 1891 г заседание дума заслушивать доклад комиссия народный образование финансовый комиссия ассигнование сооружение памятник 1000 рубль остаточный капитал текст надпись согласовывать комиссия народный образование технический отдел разрабатывать проект смета бюст отливка бюст н гоголь завод берто производить 1896 г модель выполнять скульптор п крейтан,"59.936407,30.325075","Гоголь Николай Васильевич (1809-1852). Русский писатель, в творчестве которого постоянно звучала петербургская тема. Жил в Петербурге в 1828-1836 гг. Открыт 17 июня 1896 г. Скульптор: Крейтан В. П. Архитектор: Максимов А. П. Материалы: бронза - бюст; гранит красный - постамент. Высота бюста - 1,1 м, высота постамента - 2,25 м. Городская Дума в 1891 г., к 50-летию со дня смерти М. Ю. Лермонтова, приняла решение об увековечении памяти поэта, и одновременно о памятнике Н. В. Гоголю. Думой был поставлен вопрос «об открытии бесплатных читален в память этих писателей и об установке их бюстов в Александровском саду». 23 мая 1891 г. на заседании Думы был заслушан доклад Комиссии народного образования и финансовой комиссии «...об ассигновании на сооружение памятников 1000 рублей из остаточного капитала». Тексты надписей были согласованы с Комиссией народного образования, Технический отдел разработал проекты и сметы на бюсты. Отливка бюста Н. В. Гоголя на заводе К. Берто произведена в 1896 г. по модели, выполненной скульптором В. П. Крейтаном.",,,Круглосуточно
8939,голубеву в м,памятники,,"г. Санкт-Петербург, Аллея Героев Московского парка Победы",голубев виктор максимович 1915-1945 майор командир авиационный эскадрилья год великий отечественный война совершать 260 боевой вылет дважды герой советский союз погибать выполнение учебный полет открывать 15 май 1948 г скульптор шварц д п архитектор шепилевский м кирхоглань д материал бронза - бюст гальванопластика - текстовый доска эмблема гранит - постамент размер памятник дважды герой советский союз высота бюст - 1 4 м высота постамент - 3 м подпись плинт бюст справа скульптор шварц д п московский парк победа закладывать 1945 г проект архитектор е катонин д кирхоглань т б дубяго символ вечный слава живой памятник народ-герой центральный аллея парк - аллея герой - проектироваться архитектор д кирхоглань место установка бюст дважды герой советский союз уроженец город нева установка шесть бронзовый бюст герой начинать 1948 г бюст накладной текстовый доска изображение эмблема род войско который служить награждать изготавливать завод монументскульптура бюст м голубева открывать 1948 г,"59.86906,30.323867","Голубев Виктор Максимович (1915-1945). Майор, командир авиационной эскадрильи. В годы Великой Отечественной войны совершил 260 боевых вылетов. Дважды Герой Советского Союза. Погиб при выполнении учебного полета. Открыт 15 мая 1948 г. Скульптор: Шварц Д. П. Архитекторы: Шепилевский М. А., Кирхоглани В. Д. Материалы: бронза - бюст; гальванопластика - текстовая доска с эмблемой; гранит - постамент. Размеры памятников дважды Героям Советского Союза: высота бюстов - 1,4 м, высота постаментов - 3 м. Подписи: на плинте бюста справа: Скульптор Шварц Д.П. Московский парк Победы заложен в 1945 г. по проекту архитекторов Е. И. Катонина, В. Д. Кирхоглани, Т. Б. Дубяго, как «символ вечной славы, как живой памятник Народу-Герою». Центральная аллея парка - Аллея Героев - проектировалась архитектором В. Д. Кирхоглани как место установки бюстов дважды Героев Советского Союза, уроженцев города на Неве. Установка шести бронзовых бюстов героев была начата в 1948 г. Бюсты и накладные текстовые доски с изображением эмблем рода войск, в которых служили награжденные, изготовлены на заводе «Монументскульптура». Бюст В. М. Голубева открыт в 1948 г.",,,Круглосуточно
8941,горчакову а м,памятники,,"г. Санкт-Петербург, Александровский сад, у фонтана перед Адмиралтейством",скульптор годебский ф чаркин б петров архитектор л михайлов художник-дизайнер н н соколов материал памятник бюст - бронза отливка производить завод монументскульптура постамент основание - розовый гранит доставлять месторождение кашин гора карелия высота бюст 1 2 м постамент - 1 85 м 16 октябрь 1998 год соответствие распоряжение губернатор санкт-петербург двухсотлетний юбилей день рождение александровский сад санкт-петербург пространство фонтан открытый бюст выдающийся русский дипломат м горчакова основа скульптор взять небольшой бюст канцлер выполнять 1870 год скульптор годебский,"59.936965,30.309231","Скульптор: К. К. Годебский, Ф. С. Чаркин, Б. А. Петров; Архитектор: С. Л. Михайлов; Художник-дизайнер: Н. Н. Соколов. Материал памятника: Бюст - бронза, отливка произведена на заводе «Монументскульптура»; Постамент и основание - розовый гранит, доставлен из месторождения «Кашина Гора» (Карелия). Высота бюста 1,2 м, постамента - 1,85 м. 16 октября 1998 года, в соответствии с распоряжением губернатора Санкт-Петербурга к двухсотлетнему юбилею со дня рождения в Александровском саду (Санкт-Петербург) на пространстве у фонтана был открыт бюст выдающегося русского дипломата А. М. Горчакова. За основу скульпторами был взят небольшой бюст канцлера, выполненный в 1870 году скульптором К. К. Годебским.",,,Круглосуточно
8942,горькому а м,памятники,,"г. Санкт-Петербург, сквер на пересечении Каменноостровского пр. и Кронверкского пр.",дата открытие 1968 автор исаев левинсон е угол кронверкский каменноостровский проспект 1968 год устанавливать памятник м горький автор монумент скульптор исаева архитектор е левинсон появление памятник связанный увековечивание имя писатель топонимика район город кронверкский проспект называться проспект горький примерно время 1963 год появляться станция метро горьковский район санкт-петербург связывать писатель находиться дом кронверкский пр 23 1914 1921 год жить максим горький,"59.956752,30.319811","Дата открытия: 1968. Авторы: Исаев В. В., Левинсон Е. А. На углу Кронверкского и Каменноостровского проспектов в 1968 году установлен памятник М. Горькому. Авторы монумента скульптор В. В. Исаева и архитектор Е. А. Левинсон. Появление здесь этого памятника связано с увековечиванием имени писателя в топонимике всего этого района города. Тогда Кронверкский проспект назывался проспектом Горького, и примерно в то же время (1963 год) появилась станция метро ""Горьковская"". Этот район Санкт-Петербурга связан с писателем находящимся здесь домом (Кронверкский пр., 23), где с 1914 по 1921 год жил Максим Горький.",,,Круглосуточно
8943,гречко г м,памятники,,"г. Санкт-Петербург, Аллея Героев Московского парка Победы",дата открытие 12 апрель 1983 г скульптор ю динес архитектор м м волк материал бюст - бронза текстовый доска изображение награда постамент - гранит розовый высота бюст - 1 3 м высота постамент - 2 85 м бронзовый бюст уроженец ленинград летчик-космонавт г м гречко устанавливать аллея герой московский парк победа основание указ президиум верховный совет ссср 16 март 1978 г,"59.869209,30.32493","Дата открытия:  12 апреля 1983 г. Скульптор: Ю. С. Динес. Архитектор: М. М. Волков. Материалы: бюст -  бронза, текстовая доска с изображением наград; постамент - гранит розовый. Высота бюста - 1,3 м, высота постамента - 2,85 м. Бронзовый бюст уроженца Ленинграда летчика-космонавта Г. М. Гречко установлен на Аллее Героев Московского парка Победы на основании Указа Президиума Верховного Совета СССР от 16 марта 1978 г.",,,Круглосуточно
