ID в ИС ГТИБД,Вид объекта,Название,Тип учреждения,Описание,Историческая справка,Заметки
5940,религиозные объекты,храм святых апостолов петра и павла в шуваловском парке,религиозное,церковь святых первоверховных апостолов петра и павла - действующий православный храм в шуваловском парке посёлка парголово ныне на территории санкт-петербурга приход храма относится к санкт-петербургской епархии русской православной церкви входит в состав выборгского благочиннического округа,шуваловский парк задуманный императрицей елизаветой петровной как парголовский сад с загородными дворцами сейчас - одно из любимых мест отдыха горожан живописные пруды дорожки приводящие то в тенистый сумрак аллей то на лужайку перед холмом или прудом сюда влекло иишишкина  здесь находили вдохновение величайшие поэты композиторы писатели аспушкин истургенев  нанекрасов фмдостоевский  иерепин дн мамин-сибиряк фишаляпин ааблок мпмусоргский наримский-корсаков - вот далеко не полный перечень творцов получавших здесь отдохновение от городской суеты земли парголовской мызы принадлежавшие в 14-15 вв ореховским монастырям горешек карбосельского погоста ладожского уезда захваченные шведами в 1617 и освобожденные петром первым в ходе северной войны в 1721 году по ништадтскому миру возвращенные россии подарены были петром 1 своей дочери елизавете а она в свою очередь подарила их в 1746г петру ивановичу шувалову за содействие в возведении ее на престол переходящая по наследству парголовская мыза долгое время была в запустении сын графа - андрей петрович внук - павел андреевич мало уделяли ей внимания в 1826 г вдова графа  павла андреевича варвара петровна урожденная княгиня шаховская выходит замуж за графа адольфа антоновича полье церемонимейстера двора александра 1 полье решил привести мызу и парк в порядок силами крепостных крестьян были вырыты пруды земля из которых шла на наращивание холмов были разбиты дорожки и цветники мостики и беседки украсили облик парка созданный графом ааполье парк поддерживался и был открыт для посещения с западной стороны парка расположено второ-парголовское озеро на берегу около аллеи идущей по берегу озера находились летний театр и общественная купальня с лодками отдававшимися на прокат рядом стоит холм - адольфова гора напротив которого на озере в сорока метрах от берега располагается небольшой круглый остров в конце прошлого века по его периметру росли липы толщина некоторых доходила до двух обхватов в  середине острова - беседка остров через деревянный мостик соединялся с подножием горы дважды за лето на этой аллее устраивались с благотворительной целью местным добровольным пожарным обществом праздничные гуляния заканчивавшиеся спектаклем в театре недалеко помещался теннисный клуб парголовский кружок любителей лаун-тенниса имевший 21 корт - в то время самое крупное спортивное объединение этого вида физкультуры храм петра и павла в парголово санкт-петербург после смерти графа аа полье в 830г варвара петровна обратилась к архитектору александру павловичу брюллову брату знаменитого художника кп брюллова с просьбой соорудить недалеко от пруда в горе склеп для упокоения праха усопшего супруга молодой архитектор изучавший  классическую архитектуру и путешествующий по странам европы после окончания академии художеств в петербурге 1810-1821 г построил склеп в готическом стиле со стрельчатой чугунной аркой перед входом склеп адольфа полье в том же году несмотря на тяжелое финансовое положение вдова обращается с просьбой к духовной консистории на разрешение строительства в имении каменной церкви над склепом по представленному проекту того же архитектора необычный для православной церкви неоготический стиль храма был разрешен консисторией с оговоркой чтобы склеп с прахом графа полье не принадлежащего  к православной церкви он был кальвинистом по вероисповеданию был непременно вне ограды церковной по первоначальному замыслу предполагалось эту церковь посвятить святой великомученице екатерине это отразилось в названиях проектных чертежей апбрюллова однако уже в начале 1831 г окончательно решено было освятить церковь во имя святых апостолов петра и павла вероятно это было предложено потому что один из сыновей варвары петровны и один из совладельцев парголовского имения носил имя петра павловича таим образом церковь посвящалась сразу двум его покровителям с тех пор название церковь св екатерины уже не употреблялось место для церкви было выбрано следуя традициям русского храмоздательства ап брюллов поставил церковь на возвышенность чтоб она являлась архитектурной доминантой тихого уголка парголовского парка летом 1831 г состоялась закладка церкви ее строительство продолжалось долго - свыше 10 лет объяснить это можно материальным положением владельцев усадьбы из-за огромных долгов графини послуживших причиной установления попечительства над имением на строительство церкви отпускалось очень мало средств остается неизвестным почему построенная к 1841 году церковь оставалась не освященной до 1846 г вероятнее всего в третий раз овдовевшая к тому времени княгиня варвара петровна бутеро- родали уехала за границу для приведения в порядок своего здоровья во всяком случае только 5 лет спустя она  смогла обратиться к епархиал,
5941,религиозные объекты,церковь во имя святых мучениц веры надежды любови и матери их софии подворье покрово-тервенического женского монастыря,религиозное,надежды любови и матери их софии с небесно-голубым куполом и шпилем звонницы над западной частью храма появилась на юго-западе петербурга ,белокаменная церковь свмучениц веры надежды любови и матери их софии с небесно-голубым куполом и шпилем звонницы над западной частью храма появилась на юго-западе петербурга в 1991 году под храм был использован полуразрушенный пустовавший флигель старинного классической постройки пригородного дворца графа воронцова расположенный на возвышении лидеринового уступа древнего берега моря у петергофской дороги переданный прихожанам в 1991 году территория храма обнесена невысокой оградой перед южным фасадом церкви в 1996 году установлено бронзовое скульптурное изображение веры надежды любови и матери их софии в сентябре 1996 года решением синода при создании самого молодого в епархии женского монастыря - покрово-тервенического в лодейнопольском районе ленинградской области церковь была объявлена его петербургским подворьем,
5942,религиозные объекты,церковь симеона и анны,религиозное,церковь симеона и анны полное название - церковь святых праведных симеона богоприимца и анны пророчицы - приходской храм центрального благочиннического округа санкт-петербургской епархии русской православной церкви в санкт-петербурге на углу улицы белинского и моховой улицы памятник архитектуры один из старейших храмов города являлась капитульным храмом ордена святой анны,памятник архитектуры федерального значения один из старейших храмов санкт-петербурга построен в 1733 году по проекту михаила земцова освящен 27 января 1734 являлся капитульным храмом ордена святой анны храм относится к санкт-петербургской епархии русской православной церкви входит в состав центрального благочиннического округа,
5943,религиозные объекты,храм тихвинской иконы божией матери,религиозное,наш приход тихвинской иконы божией матери на гражданке был образован в 2005 году педагогами школы № 633 и жителями мо гражданка по благословению митрополита владимира в память возвращения в россию тихвинской иконы божией матери и расположен в густонаселенном спальном районе,в 2005 году в память возвращения в россию великой святыни - тихвинской иконы божией матери в санкт-петербурге на пр науки был образован приход с самого момента образования прихода было ясно что построенная небольшая часовня не сможет вместить всех желающих приходским советом было принято решение увеличить здание уже к осени 2006 года был построен небольшой деревянный храм в котором начали совершаться регулярные богослужения приход сумел объединить вокруг себя инициативных и неравнодушных людей желающих послужить церкви и отечеству была организована воскресная школа налажено социальное и молодежное служение в рамках образовательной деятельности церкви для взрослых был организован еженедельный лекторий по воскресным дням во дворе храма устраивается чаепитие для прихожан и гостей прихода приход начал жить полноценной жизнью церкви вскоре приход вырос настолько что существующий деревянный храм уже стал неспособен вместить всех желающих участвовать в богослужении летом 2012 года правительством санкт-петербурга было принято постановление о выделении земельного участка для строительства каменного храма в августе 2014 года была огорожена стройплощадка на месте будущего храма и установлен поклонный крест и в октябре того же года начались строительные работы в настоящее время январь 2017 года капитальные работы в основном завершены стены подведены под крышу установлены кресты на купола предстоит еще провести и подключить коммуникации благоустроить территорию выполнить внутренние работы,
5944,религиозные объекты,церковь тихвинской иконы божией матери,православный храм,церковь была заложена 20 июня 1764 г за алтарем крестовоздвиженской церкви в плане тихвинская церковь напоминала старую крестовоздвиженскую 1748 года имя архитектора строившего тихвинскую церковь неизвестно в середине помещался главный престол во имя тихвинской иконы божией матери справа - небольшой придел св иоанна златоуста главный придел освящен 14 декабря 1768 г к 1830 г обе церкви крестовоздвиженская и тихвинская обветшали было решено выстроить одну новую церковь план утвержденный в 1841 г составил арх в морган храм напоминал исаакиевский собор он же разработал план временной пристройки к тихвинской церкви куда в 1844 г  были перенесены предтеченский и никольский приделы из крестовоздвиженской церкви  проект нового храма моргана так и не был реализван из-за нехватки средств был утвержден новый план перестройки крестовоздвиженской церкви по проекту арх е и диммерта тихвинская церковь закрыта в 1932 г и переделана под котельную в 1991 церковь возвращена верующим в 1991 г возобновлены богослужения,церковь была заложена 20 июня 1764 г за алтарем крестовоздвиженской церкви в плане тихвинская церковь напоминала старую крестовоздвиженскую 1748 года имя архитектора строившего тихвинскую церковь неизвестно в середине помещался главный престол во имя тихвинской иконы божией матери справа - небольшой придел св иоанна златоуста главный придел освящен 14 декабря 1768 г к 1830 г обе церкви крестовоздвиженская и тихвинская обветшали было решено выстроить одну новую церковь план утвержденный в 1841 г составил арх в морган храм напоминал исаакиевский собор он же разработал план временной пристройки к тихвинской церкви куда в 1844 г  были перенесены предтеченский и никольский приделы из крестовоздвиженской церкви  проект нового храма моргана так и не был реализван из-за нехватки средств был утвержден новый план перестройки крестовоздвиженской церкви по проекту арх е и диммерта тихвинская церковь закрыта в 1932 г и переделана под котельную в 1991 церковь возвращена верующим в 1991 г возобленовлены богослужения,
5945,религиозные объекты,церковь трех святителей вселенских,религиозное,собор вселенских учителей и святителей  - соборный праздник православной церкви посвящённый памяти великих каппадокийцев василия великого григория богослова и константинопольского патриарха иоанна златоуста которые почитаются как вселенские учители чей авторитет имеет особый вес в формировании догматики организации и богослужения церкви торжество совершается 30 января 12 февраля,трехсвятительская церковь во имя  свв василия великого григория богослова и иоанна златоуста  была приписана к андреевскому  собору при котором 2 июля 1740 она была заложена как теплая по проекту карло-джузеппе трезини ее освящение очевидно произошло в 1745 а 17 сентября 1761 на хорах был освящен благовещенский придел где установили иконостас из одноименного придела сгоревшего андреевского собора который попал в него из домовой благовещенской церкви меншикова часть образов перенесли из николо-труниловской церкви в 1827 на хорах был поставлен новый двухъярусный иконостас из домовой церкви генерал-майора а н титова в 1879 с северной стороны здания сделана пристройка разобраны первоначальные своды убрана лестница на хоры после чего 30 января 1880 состоялось новое освящение при ремонте в 1897 был закрашен старый живописный плафон одноглавое с барочными наличниками и пилястрами здание выглядело настолько необычно что возникла легенда будто оно перестроено из лютеранской кирхи внутри храм разделен мощными столбами несущими коробовый и крестовые своды служили в нем начиная с 1870-х нерегулярно используя помещение в основном под ризницу и библиотеку 2010 ги с106-107  в саитов в предисловии к петербургскому некрополю сviii пишет об упраздненом кладбище при андреевском саборе и трехсвятительской церкви  на углу большого проспекта и 6-й линии васильевского острова первоначальный собор освящен 8 октября 1732 г а трехсвятительская церковь 17 сентября 1760 г но кладбище в этой местности существовало по-видимому еще в петровское время исс о спб епархии вып iii с 421 - м корольков андреевский собор спб 1905 стрр 10 12 13 описано в 1911 гдобавил наталия церковь была заложена в 1740 г как зимняя церковь рядом с деревянным  андреевским собором через 20 лет была освящена во имя трех святителей со стороны улицы церковь воспринимается как обычный старинный петербургский дом поскольку венчающий ее небольшой куполок почти не виден из-за высокой двускатной крыши с восточной стороны здание завершается трехгранной апсидой с западной - фронтоном с плоскими пилястрами по мнению известного искусствоведа академика и э грабаря трёхсвятительская церковь обладала к началу xx в одним из самых значительных в с-петербурге собранием древнерусских иконна стене главного входа уцелела старинная мраморная доска - бывшее надгробие с эпитафией на грузинском языке она напоминает о погребенной в 1745 г княгине г н амилахвари дочери кахетинского князя обер-гофмаршала н георгадзе джорджазева,
5946,религиозные объекты,церковь успения пресвятой богородицы санкт-петербургского подворья ставропигиального мужского монастыря свято-веденская оптина пустынь,религиозное,церковь успения пресвятой богородицы - ставропигиальный православный храм на васильевском острове санкт-петербурга построена подворьем киево-печерской лавры ныне состоит при подворье козельской свято-введенской оптиной пустыни,с благовещенского моста что ведёт на васильевский остров из центра петербурга хорошо виден православный храм успения пресвятой богородицы место где стоит храм с xviii-го века принадлежало монастырским подворьям сначала - троице-сергиеву монастырю ныне лавре потом - псковскому архиерейскому дому в 1875 году подворье приобрела киево-печерская лавра вначале храм на лаврском подворье был маленький деревянный душный… он с трудом  вмещал молящихся особенно в праздничные службы и в дни служения владыки иоанникия настоятеля киево-печерской лавры приезжавшего на заседания святейшего синода и вот в 1894-1900 годах киево-печерское подворье было построено заново - с тем храмом успения пресвятой богородицы который сохранился до наших дней образы киевских святых и теперь украшают его своды,
5947,религиозные объекты,церковь шестаковской иконы божией матери грузинский приход,религиозное,церковь шестоковской иконы божией матери - храм санкт-петербургской епархии русской православной церкви памятник архитектуры федерального значения богослужение ведется на грузинском и церковнославянском языках,история храма началась с того что купчиха а и бильдеева приобрела в санкт-петербурге участок земли на песках для устройства здесь подворья шестоковского шелтомежского вознесенского женского монастыря тверской епархии в котором в 1895 года была сооружена деревянная александровская церковь4 по случаю спасения александра iii в борках церковь в начале xx века 28 декабря 1896 года иоанн кронштадтский освятил закладной камень строительство шло с 1897 по 1900 год по проекту епархиального архитектора николая никонова5 церковь на высоком подклете выстроена в стиле xvii века по образу шатрово-купольных храмов москвы и ярославля 13 февраля 1900 году епископом нарвским никоном софийским был освящён главный престол в числе сослуживших ему был иоанн кронштадтский3 18 июня иеромонах вениамин казанский освятил придел во имя святителя николая и равноапостольной марии магдалины 7 20 октября 1901 года архиепископом тверским и кашинским димитрием самбикиным освящён левый придел во имя благоверного князя александра невского святителя иннокентия иркутского и священномученика александра строительство храма обошлось в 110 тысяч рублей часть которых собрал сам иоанн кронштадтский главными вкладчиками стали местные жители п м степанов и п м кумович в 1904 году во дворе храма по проекту александра пуринга выстроили четырёхэтажный флигель для богадельни и сестёр число которых доходило к началу первой мировой войны до двадцати пяти на молебны перед шестоковской иконой богоматери находившейся в местном чине резного иконостаса стекалось множество народа 17 августа 1932 года храм закрыли5 здания были переданы районному штабу пво его архитектурный облик заметно изменился барабанные основания вместе с куполами были снесены после великой отечественной войны помещения были переоборудованы внутри сделаны межэтажные перекрытия в здании разместился филиал института спецпроектреставрация,
5948,религиозные объекты,часовня в честь иконы неопалимая купина,религиозное,церковь иконы божией матери неопалимая купина построена в 2003 году на территории пожарной части № 11 калининского района престольный праздник 17 сентября иконы божией матери именуемой неопалимая купина,для увековечения памяти пожарных погибших при исполнении служебного долга осенью 2001 года в санкт-петербургском гарнизоне пожарной охраны принято решение построить часовню во имя иконы пресвятой богородицы неопалимая купина место для строительства - территория 11-й пожарной части калининского района - было выбрано не случайно 23 февраля 1991 года при тушении страшного пожара в гостинице ленинград погиб весь боевой расчет караула этой части главным инициатором строительства и идейным вдохновителем стал бывший начальник управления пожарной охраны ленинграда леонид иванович исаченко эту идею активно поддержали начальник 1-го отряда пожарной охраны григории васильевич олейник его заместитель иван иванович чепурнов а также возглавлявший в то время управление государственной противопожарной службы санкт-петербурга александр петрович чуприян который и заложил первый камень в основание будущего храма храм строили всем миром первоначально инициаторы строительства обратились к руководству и учащимся санкт-петербургского художественного училища а позже в городе на неве для архитекторов был объявлен общегородской конкурс на проект здания в итоге из множества макетов выбрали один в котором стены храма представлялись в виде языков пламени проект утвердили и он был согласован с митрополитом санкт-петербургским и ладожским владимиром параллельно был организован и сбор пожертвований на строительство желание увековечить память героев погибших при исполнении служебного долга нашло поддержку многих людей большой вклад внес личный состав противопожарной службы а также благотворители города оказавшие различную помощь на всех этапах строительства так благодаря совместным усилиям и с помощью божией на некогда пустой территории перед фасадом здания 11-й пожарной части на лесном проспекте появилось место где можно приклонить главу сразу перед всеми павшими в огне на памятных досках мемориала золотом высечены имена более чем двух тысяч сотрудников гарнизона погибших при исполнении служебного долга в годы блокады ленинграда а также в послевоенное время жемчужиной комплекса стал храм во имя иконы пресвятой богородицы неопалимая купина его торжественное освящение состоялось 27 июня 2003 года и было приурочено к 200-летнему юбилею создания профессиональной пожарной охраны города на неве благоукрашение храма продолжается и поныне проведены работы по оформлению внутреннего убранства уже выполнены роспись стен алтарной части подкупольное пространство украсил образ святого духа в окружении ликов святых ветхозаветных пророков на стенах храма изображены образы пресвятой богородицы оранта что значит молящаяся святых апостолов и евангелистов гарнизонный храм петербургских пожарных является одним из храмов военного благочиния санкт-петербургской епархии русской православной церкви для того чтобы те кто исполняет служебный долг перед родиной могли молитвенно обратиться к своим святым покровителям стараниями священников храма были собраны иконы осуществить этот замысел и подарить иконы гарнизонному храму решился прихожанин храма офицер-подводник николай семенович чесноков он обратился к художникам елене и владимиру агеевым которые приехав на остров залета испросить благословения у священника николая гурьянова на написание икон так навсегда и остались проживать на этом острове отец николай гурьянов почил в 2002 году а художники по его святым молитвам усердно трудятся создавая образы святых так были написаны для гарнизонного храма петербургских пожарных иконы святых воинов архангела михаила - вождя воинства господня великомученика георгия победоносца святых благоверных князей александра невского даниила московского и димитрия донского преподобного илии муромца преподобных александра пересвета и андрея осляби радонежских святого праведного воина федора ушакова в алтаре храма хранится старинная икона пресвятой богородицы неопалимая купина примерно хiх века которая была передана таможенной службой для храма мчс икона оказалась у таможенников в ходе конфискации груза вывозимых из россии ценностей а 29 июля 2012 года храм обрел еще одну икону неопалимая купина уже современной работы но обрёл её поистине удивительным чудесным образом казалось бы история этой иконы была проста начальник части капитан внутренней службы вячеслав андреевич литвинов для 28 пожарной части приобрел икону в магазине города калининграда во время своего отпуска икона изготовлена из янтаря в единствен- ном экземпляре в начале марта 2012 года икона была привезена в санкт-петербург и освящена в ближайшем от пожарной части храме св илии пророка однако накануне описываемого дня настоятелю храма позвонил сотрудник 28 пожарной части фгку 16 отряда красногвардейского района старший лейтенант владимир сергеевич клеменов и сообщил что икона божией матери неопалимая купина находящаяся у них в спальном помещении отряда вся мокрая и что из нее исходит прозрачная вода горько-соленого в,
5949,религиозные объекты,часовня св вмч иоанна нового сочавского,религиозное,архитекторы рапопорт е м столярчук а а год постройки 2003-2004 2017-2018,2003 - 2004 - архрапопорт евгений менделевич столярчук анатолий аркадьевич 2017-2018 - реконструкция часовня построена  в память об утраченном храме успения пресвятой богородицы освящена во имя покровителя торговли св мч иоанна нового 19 марта 2005 гприписана к церкви воскресения христова у варшавского вокзала после проведенной реконструкции храм-часовня освящена во имя всемилостивого спаса внутренняя площадь часовни увеличена с 166 кв метров до 109 кв метров,
5950,религиозные объекты,часовня божией матери всех скорбящих радости - церковь подворья свято-троицкого зеленецкого мужского монастыря,религиозное,церковь иконы божией матери всех скорбящих радость с грошиками - православный храм на проспекте обуховской обороны в санкт-петербурге был разрушен советскими властями в 1933 году и восстановлен в 2017-2021 годах,1906-1909  - арх фон гоген александр иванович  иванов александр васильевич 1996-2008  - реставрация на фасадах облицованных светлой кирпичной плиткой сохранились мозаики работы в а фролова в селении стеклянного завода на шлиссельбургском тракте уже со второй половины xviii в стояла скромная часовня со скорбященской иконой найденной на берегу невы и подаренной купцом с и матвеевым в 1870 обветшавшая часовня была заменена новой тоже деревянной и в ней 23 июля 1888 случилось великое чудо во время грозы когда молния зажгла часовню от ее удара из кружки стоявшей рядом на икону упали полукопейки - грошики они прочно прилипли к иконе которая одновременно чудесным образом обновилась этот день вошел в церковный календарь и отмечался в позднейшем храме крестным ходом и акафистом сама икона божией матери всех скорбящих радости стала называться с грошиками сходить на поклонение к святыне помолиться перед нею - душевная потребность каждого православного жителя петербурга - писала в начале xx века одна из столичных газет уже на следующий день после чуда к погоревшей часовне начали стекаться богомольцы и служить в ней молебны а в 1891 собрав 41 тыс руб прихожане борисоглебской церкви попросили разрешения возвести отдельный храм пожертвования продолжали поступать и 12 июня 1894 митрополит палладий заложил шатровый храм с колокольней проект которого бесплатно составили а и фон гоген и а в иванов,
